2022-04-17 08:09:55 [schedule-pool-3] INFO  c.r.s.s.i.SysLogininforServiceImpl - <0><1515256005259952128> [127.0.0.1]内网IP[admin][Error][验证码错误]
2022-04-17 10:27:30 [main] INFO  org.redisson.Version - Redisson 3.16.8
2022-04-17 10:27:31 [redisson-netty-2-2] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 10:27:31 [redisson-netty-2-3] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 10:27:31 [main] INFO  c.f.framework.config.RedisConfig - 初始化 redis 配置
2022-04-17 10:27:31 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2022-04-17 10:27:32 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2022-04-17 10:27:32 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1,master} inited
2022-04-17 10:27:32 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2022-04-17 10:27:32 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2022-04-17 10:27:32 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2022-04-17 10:27:34 [main] INFO  o.f.s.b.e.EventRegistryAutoConfiguration - No deployment resources were found for autodeployment
2022-04-17 10:27:34 [main] INFO  c.f.framework.config.JacksonConfig - 初始化 jackson 配置
2022-04-17 10:27:34 [main] INFO  o.f.s.b.ProcessEngineAutoConfiguration - No deployment resources were found for autodeployment
2022-04-17 10:27:34 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Found 1 Engine Configurators in total:
2022-04-17 10:27:34 [main] INFO  o.f.s.SpringProcessEngineConfiguration - class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 10:27:34 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing beforeInit() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 10:27:35 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing configure() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 10:27:35 [main] INFO  liquibase.lockservice - Successfully acquired change log lock
2022-04-17 10:27:35 [main] INFO  liquibase.changelog - Reading from oloas_fzs.FLW_EV_DATABASECHANGELOG
2022-04-17 10:27:35 [main] INFO  liquibase.lockservice - Successfully released change log lock
2022-04-17 10:27:35 [main] INFO  o.f.e.impl.EventRegistryEngineImpl - EventRegistryEngine default created
2022-04-17 10:27:36 [main] INFO  o.f.engine.impl.ProcessEngineImpl - ProcessEngine default created
2022-04-17 10:27:36 [main] INFO  o.f.e.impl.cmd.ValidateV5EntitiesCmd - Total of v5 deployments found: 0
2022-04-17 10:27:37 [main] INFO  io.undertow - starting server: Undertow - 2.2.16.Final
2022-04-17 10:27:37 [main] INFO  org.xnio - XNIO version 3.8.6.Final
2022-04-17 10:27:37 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.6.Final
2022-04-17 10:27:37 [main] INFO  org.jboss.threads - JBoss Threads version 3.1.0.Final
2022-04-17 10:27:38 [main] INFO  com.fzshuai.OloasApplication - Started fzshuaiApplication in 10.201 seconds (JVM running for 11.04)
2022-04-17 10:27:38 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => minio
2022-04-17 10:27:38 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qiniu
2022-04-17 10:27:38 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => aliyun
2022-04-17 10:27:38 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qcloud
2022-04-17 10:27:38 [main] INFO  com.fzshuai.oss.factory.OssFactory - 初始化OSS工厂
2022-04-17 10:27:38 [main] INFO  c.f.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2022-04-17 10:27:38 [main] INFO  c.f.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2022-04-17 10:27:38 [main] INFO  c.f.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2022-04-17 10:27:39 [RMI TCP Connection(5)-172.36.137.55] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-17 10:32:28 [XNIO-1 task-1] INFO  c.f.f.listener.UserActionListener - <0><1515518524897648640> user doLogin, useId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpbklkIjoic3lzX3VzZXI6MSIsInJuIjoiS21TYlBKdW5RSkpUc1JSYUw3bGJBbXZPYkRzRzhveDgifQ.hUroVpjvwfegOga2G38f_fac15vLnzlaKQfXPpTkGL0
2022-04-17 10:32:28 [schedule-pool-1] INFO  c.f.s.s.i.SysLogininforServiceImpl - <0><1515518524897648640> [127.0.0.1]内网IP[admin][Success][登录成功]
2022-04-17 10:34:13 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.2.16.Final
2022-04-17 10:34:13 [SpringApplicationShutdownHook] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2022-04-17 10:34:13 [SpringApplicationShutdownHook] INFO  c.f.f.manager.ShutdownManager - ====关闭后台任务任务线程池====
2022-04-17 10:34:13 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2022-04-17 10:34:13 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2022-04-17 10:34:13 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-04-17 10:34:13 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-04-17 10:34:13 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2022-04-17 10:48:26 [main] INFO  com.fzshuai.OloasApplication - Starting fzshuaiApplication using Java 1.8.0_311 on FZSHUAI with PID 17780 (F:\Idea Project\oloas-back\oloas-admin\target\classes started by fzshuai in F:\Idea Project\oloas-back)
2022-04-17 10:48:26 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.2.Final
2022-04-17 10:48:26 [main] INFO  com.fzshuai.OloasApplication - The following 1 profile is active: "dev"
2022-04-17 10:48:28 [main] INFO  org.redisson.Version - Redisson 3.16.8
2022-04-17 10:48:29 [redisson-netty-2-8] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 10:48:29 [redisson-netty-2-3] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 10:48:29 [main] INFO  c.f.framework.config.RedisConfig - 初始化 redis 配置
2022-04-17 10:48:29 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2022-04-17 10:48:29 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2022-04-17 10:48:30 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1,master} inited
2022-04-17 10:48:30 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2022-04-17 10:48:30 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2022-04-17 10:48:30 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2022-04-17 10:48:32 [main] INFO  o.f.s.b.e.EventRegistryAutoConfiguration - No deployment resources were found for autodeployment
2022-04-17 10:48:32 [main] INFO  c.f.framework.config.JacksonConfig - 初始化 jackson 配置
2022-04-17 10:48:32 [main] INFO  o.f.s.b.ProcessEngineAutoConfiguration - No deployment resources were found for autodeployment
2022-04-17 10:48:32 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Found 1 Engine Configurators in total:
2022-04-17 10:48:32 [main] INFO  o.f.s.SpringProcessEngineConfiguration - class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 10:48:32 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing beforeInit() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 10:48:33 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing configure() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 10:48:33 [main] INFO  liquibase.lockservice - Successfully acquired change log lock
2022-04-17 10:48:34 [main] INFO  liquibase.changelog - Reading from oloas_fzs.FLW_EV_DATABASECHANGELOG
2022-04-17 10:48:34 [main] INFO  liquibase.lockservice - Successfully released change log lock
2022-04-17 10:48:34 [main] INFO  o.f.e.impl.EventRegistryEngineImpl - EventRegistryEngine default created
2022-04-17 10:48:34 [main] INFO  o.f.engine.impl.ProcessEngineImpl - ProcessEngine default created
2022-04-17 10:48:34 [main] INFO  o.f.e.impl.cmd.ValidateV5EntitiesCmd - Total of v5 deployments found: 0
2022-04-17 10:48:35 [main] INFO  io.undertow - starting server: Undertow - 2.2.16.Final
2022-04-17 10:48:35 [main] INFO  org.xnio - XNIO version 3.8.6.Final
2022-04-17 10:48:35 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.6.Final
2022-04-17 10:48:35 [main] INFO  org.jboss.threads - JBoss Threads version 3.1.0.Final
2022-04-17 10:48:36 [main] INFO  com.fzshuai.OloasApplication - Started fzshuaiApplication in 10.443 seconds (JVM running for 11.578)
2022-04-17 10:48:36 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => minio
2022-04-17 10:48:36 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qiniu
2022-04-17 10:48:36 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => aliyun
2022-04-17 10:48:36 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qcloud
2022-04-17 10:48:36 [main] INFO  com.fzshuai.oss.factory.OssFactory - 初始化OSS工厂
2022-04-17 10:48:36 [main] INFO  c.f.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2022-04-17 10:48:36 [main] INFO  c.f.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2022-04-17 10:48:36 [main] INFO  c.f.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2022-04-17 10:48:37 [RMI TCP Connection(3)-172.36.137.55] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-17 10:50:04 [XNIO-1 task-1] INFO  c.f.f.listener.UserActionListener - <0><1515522956414758912> user doLogout, useId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpbklkIjoic3lzX3VzZXI6MSIsInJuIjoiS21TYlBKdW5RSkpUc1JSYUw3bGJBbXZPYkRzRzhveDgifQ.hUroVpjvwfegOga2G38f_fac15vLnzlaKQfXPpTkGL0
2022-04-17 10:50:13 [XNIO-1 task-1] INFO  c.f.f.listener.UserActionListener - <0><1515522991969873920> user doLogin, useId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpbklkIjoic3lzX3VzZXI6MSIsInJuIjoiSUg1SnhpOUx4eElJanhmZW83T21Wejd5SkZqcVBMdjkifQ.-FXEFdHMMGT_GqP_5LXReR78tagaUFPCwb3S2FHGKtE
2022-04-17 10:50:13 [schedule-pool-1] INFO  c.f.s.s.i.SysLogininforServiceImpl - <0><1515522991969873920> [127.0.0.1]内网IP[admin][Success][登录成功]
2022-04-17 15:11:48 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.2.16.Final
2022-04-17 15:11:48 [SpringApplicationShutdownHook] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2022-04-17 15:11:48 [SpringApplicationShutdownHook] INFO  c.f.f.manager.ShutdownManager - ====关闭后台任务任务线程池====
2022-04-17 15:11:48 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2022-04-17 15:11:48 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2022-04-17 15:11:48 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-04-17 15:11:48 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-04-17 15:11:48 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2022-04-17 15:49:45 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.2.Final
2022-04-17 15:53:31 [main] INFO  com.fzshuai.OloasApplication - Starting OloasApplication using Java 1.8.0_311 on FZSHUAI with PID 28764 (F:\Idea Project\oloas-back\oloas-admin\target\classes started by fzshuai in F:\Idea Project\oloas-back)
2022-04-17 15:53:31 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.2.Final
2022-04-17 15:53:31 [main] INFO  com.fzshuai.OloasApplication - The following 1 profile is active: "dev"
2022-04-17 15:53:33 [main] INFO  org.redisson.Version - Redisson 3.16.8
2022-04-17 15:53:33 [redisson-netty-2-8] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 15:53:33 [redisson-netty-2-3] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 15:53:34 [main] INFO  c.f.framework.config.RedisConfig - 初始化 redis 配置
2022-04-17 15:53:34 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2022-04-17 15:53:34 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2022-04-17 15:53:35 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1,master} inited
2022-04-17 15:53:35 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2022-04-17 15:53:35 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2022-04-17 15:53:35 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2022-04-17 15:53:36 [main] INFO  o.f.s.b.e.EventRegistryAutoConfiguration - No deployment resources were found for autodeployment
2022-04-17 15:53:36 [main] INFO  c.f.framework.config.JacksonConfig - 初始化 jackson 配置
2022-04-17 15:53:36 [main] INFO  o.f.s.b.ProcessEngineAutoConfiguration - No deployment resources were found for autodeployment
2022-04-17 15:53:37 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Found 1 Engine Configurators in total:
2022-04-17 15:53:37 [main] INFO  o.f.s.SpringProcessEngineConfiguration - class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 15:53:37 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing beforeInit() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 15:53:37 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing configure() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 15:53:38 [main] INFO  liquibase.lockservice - Successfully acquired change log lock
2022-04-17 15:53:38 [main] INFO  liquibase.changelog - Reading from oloas_fzs.FLW_EV_DATABASECHANGELOG
2022-04-17 15:53:38 [main] INFO  liquibase.lockservice - Successfully released change log lock
2022-04-17 15:53:38 [main] INFO  o.f.e.impl.EventRegistryEngineImpl - EventRegistryEngine default created
2022-04-17 15:53:38 [main] INFO  o.f.engine.impl.ProcessEngineImpl - ProcessEngine default created
2022-04-17 15:53:38 [main] INFO  o.f.e.impl.cmd.ValidateV5EntitiesCmd - Total of v5 deployments found: 0
2022-04-17 15:53:40 [main] INFO  io.undertow - starting server: Undertow - 2.2.16.Final
2022-04-17 15:53:40 [main] INFO  org.xnio - XNIO version 3.8.6.Final
2022-04-17 15:53:40 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.6.Final
2022-04-17 15:53:40 [main] INFO  org.jboss.threads - JBoss Threads version 3.1.0.Final
2022-04-17 15:53:41 [main] INFO  com.fzshuai.OloasApplication - Started OloasApplication in 10.082 seconds (JVM running for 10.81)
2022-04-17 15:53:41 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => minio
2022-04-17 15:53:41 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qiniu
2022-04-17 15:53:41 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => aliyun
2022-04-17 15:53:41 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qcloud
2022-04-17 15:53:41 [main] INFO  com.fzshuai.oss.factory.OssFactory - 初始化OSS工厂
2022-04-17 15:53:41 [main] INFO  c.f.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2022-04-17 15:53:41 [main] INFO  c.f.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2022-04-17 15:53:41 [main] INFO  c.f.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2022-04-17 15:53:42 [RMI TCP Connection(3)-172.36.137.55] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-17 15:55:11 [XNIO-1 task-1] INFO  c.f.f.listener.UserActionListener - <0><1515599739499679744> user doLogout, useId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpbklkIjoic3lzX3VzZXI6MSIsInJuIjoiSUg1SnhpOUx4eElJanhmZW83T21Wejd5SkZqcVBMdjkifQ.-FXEFdHMMGT_GqP_5LXReR78tagaUFPCwb3S2FHGKtE
2022-04-17 15:55:15 [XNIO-1 task-1] INFO  c.f.f.listener.UserActionListener - <0><1515599756096540672> user doLogin, useId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpbklkIjoic3lzX3VzZXI6MSIsInJuIjoiZ2RSZTJVZW01V3JXUktxQUt4Z3hjRFVuZHBOc2plNHoifQ.RwG_PyTtOkDfQVaey61TVk8yHm-9i486sxrlFmtO7ns
2022-04-17 15:55:15 [schedule-pool-1] INFO  c.f.s.s.i.SysLogininforServiceImpl - <0><1515599756096540672> [127.0.0.1]内网IP[admin][Success][登录成功]
2022-04-17 15:59:27 [XNIO-1 task-2] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - <0><1515600816668250112> 发布刷新OSS配置 => aliyun
2022-04-17 16:07:22 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.2.16.Final
2022-04-17 16:07:22 [SpringApplicationShutdownHook] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2022-04-17 16:07:22 [SpringApplicationShutdownHook] INFO  c.f.f.manager.ShutdownManager - ====关闭后台任务任务线程池====
2022-04-17 16:07:22 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2022-04-17 16:07:22 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2022-04-17 16:07:22 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-04-17 16:07:22 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-04-17 16:07:22 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2022-04-17 16:07:26 [main] INFO  com.fzshuai.OloasApplication - Starting OloasApplication using Java 1.8.0_311 on FZSHUAI with PID 20276 (F:\Idea Project\oloas-back\oloas-admin\target\classes started by fzshuai in F:\Idea Project\oloas-back)
2022-04-17 16:07:26 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.2.Final
2022-04-17 16:07:26 [main] INFO  com.fzshuai.OloasApplication - The following 1 profile is active: "dev"
2022-04-17 16:07:28 [main] INFO  org.redisson.Version - Redisson 3.16.8
2022-04-17 16:07:29 [redisson-netty-2-3] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 16:07:29 [redisson-netty-2-3] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 16:07:29 [main] INFO  c.f.framework.config.RedisConfig - 初始化 redis 配置
2022-04-17 16:07:29 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2022-04-17 16:07:29 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2022-04-17 16:07:30 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1,master} inited
2022-04-17 16:07:30 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2022-04-17 16:07:30 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2022-04-17 16:07:30 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2022-04-17 16:07:32 [main] INFO  o.f.s.b.e.EventRegistryAutoConfiguration - No deployment resources were found for autodeployment
2022-04-17 16:07:32 [main] INFO  c.f.framework.config.JacksonConfig - 初始化 jackson 配置
2022-04-17 16:07:32 [main] INFO  o.f.s.b.ProcessEngineAutoConfiguration - No deployment resources were found for autodeployment
2022-04-17 16:07:32 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Found 1 Engine Configurators in total:
2022-04-17 16:07:32 [main] INFO  o.f.s.SpringProcessEngineConfiguration - class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 16:07:32 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing beforeInit() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 16:07:33 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing configure() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 16:07:33 [main] INFO  liquibase.lockservice - Successfully acquired change log lock
2022-04-17 16:07:33 [main] INFO  liquibase.changelog - Reading from oloas_fzs.FLW_EV_DATABASECHANGELOG
2022-04-17 16:07:33 [main] INFO  liquibase.lockservice - Successfully released change log lock
2022-04-17 16:07:33 [main] INFO  o.f.e.impl.EventRegistryEngineImpl - EventRegistryEngine default created
2022-04-17 16:07:33 [main] INFO  o.f.engine.impl.ProcessEngineImpl - ProcessEngine default created
2022-04-17 16:07:33 [main] INFO  o.f.e.impl.cmd.ValidateV5EntitiesCmd - Total of v5 deployments found: 0
2022-04-17 16:07:35 [main] INFO  io.undertow - starting server: Undertow - 2.2.16.Final
2022-04-17 16:07:35 [main] INFO  org.xnio - XNIO version 3.8.6.Final
2022-04-17 16:07:35 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.6.Final
2022-04-17 16:07:35 [main] INFO  org.jboss.threads - JBoss Threads version 3.1.0.Final
2022-04-17 16:07:36 [main] INFO  com.fzshuai.OloasApplication - Started OloasApplication in 10.08 seconds (JVM running for 10.847)
2022-04-17 16:07:36 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => minio
2022-04-17 16:07:36 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qiniu
2022-04-17 16:07:36 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => aliyun
2022-04-17 16:07:36 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qcloud
2022-04-17 16:07:36 [main] INFO  com.fzshuai.oss.factory.OssFactory - 初始化OSS工厂
2022-04-17 16:07:36 [main] INFO  c.f.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2022-04-17 16:07:36 [main] INFO  c.f.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2022-04-17 16:07:36 [main] INFO  c.f.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2022-04-17 16:07:37 [RMI TCP Connection(2)-172.36.137.55] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-17 16:10:48 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.2.16.Final
2022-04-17 16:10:48 [SpringApplicationShutdownHook] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2022-04-17 16:10:48 [SpringApplicationShutdownHook] INFO  c.f.f.manager.ShutdownManager - ====关闭后台任务任务线程池====
2022-04-17 16:10:48 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2022-04-17 16:10:48 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2022-04-17 16:10:48 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-04-17 16:10:48 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-04-17 16:10:48 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2022-04-17 16:10:52 [main] INFO  com.fzshuai.OloasApplication - Starting OloasApplication using Java 1.8.0_311 on FZSHUAI with PID 14228 (F:\Idea Project\oloas-back\oloas-admin\target\classes started by fzshuai in F:\Idea Project\oloas-back)
2022-04-17 16:10:52 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.2.Final
2022-04-17 16:10:52 [main] INFO  com.fzshuai.OloasApplication - The following 1 profile is active: "dev"
2022-04-17 16:10:54 [main] INFO  org.redisson.Version - Redisson 3.16.8
2022-04-17 16:10:55 [redisson-netty-2-7] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 16:10:55 [redisson-netty-2-3] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 16:10:55 [main] INFO  c.f.framework.config.RedisConfig - 初始化 redis 配置
2022-04-17 16:10:55 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2022-04-17 16:10:55 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2022-04-17 16:10:56 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1,master} inited
2022-04-17 16:10:56 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2022-04-17 16:10:56 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
